Date	High	Low	Open	Close	Volume	Adj Close	RSI	sell_signal	buy_signal	Current Position	Current Stock Holding	Current Capital
2017-02-22	1235.00	1200.07	1232.95	1205.75	4505496.00	1100.17	56.28	0	0	1	91	0
2017-02-23	1246.62	1207.50	1207.50	1240.90	4853352.00	1132.24	62.10	0	0	1	91	0
2017-02-27	1251.00	1235.03	1239.55	1244.93	2139892.00	1135.92	62.72	0	0	1	91	0
2017-02-28	1245.00	1225.00	1244.75	1233.12	2354828.00	1125.15	59.67	0	0	1	91	0
2017-03-01	1250.95	1235.00	1239.95	1239.78	1130374.00	1131.22	60.83	0	0	1	91	0
2017-03-02	1255.00	1235.03	1243.35	1250.72	1544942.00	1141.21	62.72	0	0	1	91	0
2017-03-03	1249.85	1237.70	1246.00	1247.03	1013970.00	1137.83	61.63	0	0	1	91	0
2017-03-06	1242.00	1227.28	1240.00	1236.25	1400694.00	1128.00	58.47	0	0	1	91	0
2017-03-07	1252.50	1237.53	1241.45	1249.90	1511672.00	1140.46	61.19	0	0	1	91	0
2017-03-08	1260.00	1246.10	1251.00	1256.10	1791510.00	1146.11	62.39	0	0	1	91	0
2017-03-09	1262.00	1252.03	1257.07	1259.88	858468.00	1149.56	63.14	0	0	1	91	0
2017-03-10	1274.78	1256.97	1259.80	1271.12	1171420.00	1159.82	65.36	0	0	1	91	0
2017-03-14	1293.57	1275.53	1278.40	1283.75	3402294.00	1171.34	67.71	0	0	1	91	0
2017-03-15	1286.07	1246.93	1286.00	1249.15	3022496.00	1139.77	56.42	0	0	1	91	0
2017-03-16	1263.50	1253.00	1253.00	1260.45	1571818.00	1150.08	58.83	0	0	1	91	0
2017-03-17	1273.00	1254.88	1273.00	1262.88	2593152.00	1152.29	59.35	0	0	1	91	0
2017-03-20	1262.97	1233.00	1262.97	1240.00	3487540.00	1131.42	52.60	0	0	1	91	0
2017-03-21	1246.00	1232.50	1241.00	1243.35	3373700.00	1134.48	53.43	0	0	1	91	0
2017-03-22	1248.00	1234.97	1240.07	1239.47	1888716.00	1130.94	52.29	0	0	1	91	0
2017-03-23	1242.53	1223.60	1241.00	1230.18	2620638.00	1122.46	49.53	0	0	1	91	0
2017-03-24	1234.90	1211.65	1234.90	1213.60	5099814.00	1107.33	44.99	0	0	1	91	0
2017-03-27	1220.00	1203.00	1213.47	1206.03	2181270.00	1100.42	43.04	0	0	1	91	0
2017-03-28	1221.70	1205.00	1205.00	1214.97	1153158.00	1108.59	46.01	0	0	1	91	0
2017-03-29	1225.40	1212.80	1218.00	1222.30	1717764.00	1115.27	48.38	0	0	1	91	0
